year,cable_id,ocean_route,operator_type,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,route_redundancy,is_low_redundancy,vulnerability_index,fault_this_year,fault_next_year,prev_fault,fault_3y,never_faulted,yrs_since_fault,cum_fault_rate,history_available
2022,CAB0094,Indian-Ocean,consortium,16.0,10.0,10601.0,7.0,,194.3,194.3,53.3,1.0,39.0,1.0,45.2,0.0,0.0,0.0,1.0,0,2,0.25,1
2023,CAB0094,Indian-Ocean,consortium,17.0,10.0,10601.0,7.0,,194.3,194.3,46.4,1.0,40.0,0.0,27.0,0.0,0.0,0.0,0.0,0,3,0.2222222222222222,1
2024,CAB0094,Indian-Ocean,consortium,18.0,10.0,10601.0,7.0,,194.3,194.3,68.2,1.0,41.0,0.0,28.6,0.0,0.0,0.0,0.0,0,4,0.2,1
2025,CAB0094,Indian-Ocean,consortium,19.0,10.0,10601.0,7.0,,194.3,194.3,66.8,1.0,44.0,0.0,30.2,0.0,1.0,0.0,0.0,0,5,0.18181818181818182,1
2017,CAB0095,Africa-Coastal,consortium,0.0,20.0,7843.0,6.0,,702.9,194.0,62.8,1.0,40.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2018,CAB0095,Africa-Coastal,consortium,1.0,20.0,7843.0,6.0,,702.9,214.8,35.7,1.0,40.0,0.0,1.6,0.0,0.0,0.0,0.0,1,99,0.0,0
2019,CAB0095,Africa-Coastal,consortium,2.0,20.0,7843.0,6.0,,702.9,224.6,60.6,1.0,42.0,0.0,3.2,0.0,0.0,0.0,0.0,1,99,0.0,0
2020,CAB0095,Africa-Coastal,consortium,3.0,20.0,7843.0,6.0,,702.9,322.4,32.5,1.0,43.0,0.0,4.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0095,Africa-Coastal,consortium,4.0,20.0,7843.0,6.0,,702.9,327.9,29.3,1.0,44.0,0.0,6.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0095,Africa-Coastal,consortium,5.0,20.0,7843.0,6.0,,702.9,357.1,51.6,1.0,45.0,0.0,7.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0095,Africa-Coastal,consortium,6.0,20.0,7843.0,6.0,,702.9,480.1,29.9,1.0,47.0,0.0,9.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0095,Africa-Coastal,consortium,7.0,20.0,7843.0,6.0,,702.9,453.2,70.0,1.0,49.0,0.0,11.1,0.0,1.0,0.0,0.0,1,99,0.0,1
2025,CAB0095,Africa-Coastal,consortium,8.0,20.0,7843.0,6.0,,702.9,524.3,97.3,1.0,52.0,0.0,12.7,1.0,0.0,0.0,1.0,0,0,0.1111111111111111,1
2025,CAB0096,Trans-Atlantic,carrier,0.0,37.0,7020.0,4.0,,1723.1,570.9,25.1,1.0,62.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2018,CAB0097,EMEA-Asia,hyperscaler,0.0,21.0,12067.0,6.0,Suez,768.0,201.8,25.2,1.0,34.0,1.0,47.6,1.0,0.0,,1.0,0,0,1.0,0
2019,CAB0097,EMEA-Asia,hyperscaler,1.0,21.0,12067.0,6.0,Suez,768.0,260.0,27.0,1.0,37.0,1.0,49.2,0.0,0.0,1.0,1.0,0,1,0.5,0
2020,CAB0097,EMEA-Asia,hyperscaler,2.0,21.0,12067.0,6.0,Suez,768.0,321.5,60.0,1.0,40.0,0.0,31.0,0.0,0.0,0.0,1.0,0,2,0.3333333333333333,0
2021,CAB0097,EMEA-Asia,hyperscaler,3.0,21.0,12067.0,6.0,Suez,768.0,299.1,13.8,1.0,44.0,0.0,32.5,0.0,0.0,0.0,0.0,0,3,0.25,1
2022,CAB0097,EMEA-Asia,hyperscaler,4.0,21.0,12067.0,6.0,Suez,768.0,393.9,50.3,1.0,45.0,0.0,34.1,0.0,0.0,0.0,0.0,0,4,0.2,1
2023,CAB0097,EMEA-Asia,hyperscaler,5.0,21.0,12067.0,6.0,Suez,768.0,449.8,14.7,1.0,47.0,0.0,35.7,0.0,0.0,0.0,0.0,0,5,0.16666666666666666,1
2024,CAB0097,EMEA-Asia,hyperscaler,6.0,21.0,12067.0,6.0,Suez,768.0,521.4,73.4,1.0,48.0,0.0,37.3,0.0,0.0,0.0,0.0,0,6,0.14285714285714285,1
2025,CAB0097,EMEA-Asia,hyperscaler,7.0,21.0,12067.0,6.0,Suez,768.0,476.8,72.5,1.0,47.0,0.0,38.9,0.0,0.0,0.0,0.0,0,7,0.125,1
2015,CAB0098,Intra-Europe,carrier,14.0,2.0,1385.0,5.0,,24.6,24.6,100.0,1.0,41.0,0.0,22.2,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0098,Intra-Europe,carrier,15.0,2.0,1385.0,5.0,,24.6,24.6,59.0,1.0,42.0,0.0,23.8,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0098,Intra-Europe,carrier,16.0,2.0,1385.0,5.0,,24.6,24.6,55.5,1.0,44.0,0.0,25.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0098,Intra-Europe,carrier,17.0,2.0,1385.0,5.0,,24.6,24.6,92.6,1.0,45.0,0.0,27.0,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0098,Intra-Europe,carrier,18.0,2.0,1385.0,5.0,,24.6,24.6,60.4,1.0,47.0,0.0,28.6,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0098,Intra-Europe,carrier,19.0,2.0,1385.0,5.0,,24.6,24.6,84.4,1.0,49.0,0.0,30.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0098,Intra-Europe,carrier,20.0,2.0,1385.0,5.0,,24.6,24.6,100.0,1.0,49.0,0.0,31.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0098,Intra-Europe,carrier,21.0,2.0,1385.0,5.0,,24.6,24.6,52.1,1.0,52.0,0.0,33.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0098,Intra-Europe,carrier,22.0,2.0,1385.0,5.0,,24.6,24.6,100.0,1.0,53.0,0.0,34.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0098,Intra-Europe,carrier,23.0,2.0,1385.0,5.0,,24.6,24.6,100.0,1.0,53.0,0.0,36.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0098,Intra-Europe,carrier,24.0,2.0,1385.0,5.0,,24.6,24.6,80.0,1.0,58.0,0.0,38.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2015,CAB0099,Trans-Pacific,carrier,10.0,6.0,10716.0,5.0,,108.0,94.4,41.5,1.0,35.0,1.0,35.7,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0099,Trans-Pacific,carrier,11.0,6.0,10716.0,5.0,,108.0,97.2,42.1,1.0,37.0,1.0,37.3,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0099,Trans-Pacific,carrier,12.0,6.0,10716.0,5.0,,108.0,108.0,70.0,1.0,38.0,1.0,38.9,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0099,Trans-Pacific,carrier,13.0,6.0,10716.0,5.0,,108.0,106.2,51.7,1.0,39.0,1.0,40.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0099,Trans-Pacific,carrier,14.0,6.0,10716.0,5.0,,108.0,108.0,64.3,1.0,41.0,0.0,22.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0099,Trans-Pacific,carrier,15.0,6.0,10716.0,5.0,,108.0,108.0,70.7,1.0,42.0,0.0,23.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0099,Trans-Pacific,carrier,16.0,6.0,10716.0,5.0,,108.0,108.0,55.3,1.0,43.0,0.0,25.4,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0099,Trans-Pacific,carrier,17.0,6.0,10716.0,5.0,,108.0,108.0,90.9,1.0,45.0,0.0,27.0,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0099,Trans-Pacific,carrier,18.0,6.0,10716.0,5.0,,108.0,108.0,71.7,1.0,47.0,0.0,28.6,0.0,1.0,0.0,0.0,1,99,0.0,1
2024,CAB0099,Trans-Pacific,carrier,19.0,6.0,10716.0,5.0,,108.0,108.0,87.9,1.0,49.0,0.0,30.2,1.0,0.0,0.0,1.0,0,0,0.1,1
2025,CAB0099,Trans-Pacific,carrier,20.0,6.0,10716.0,5.0,,108.0,108.0,99.0,1.0,50.0,0.0,31.7,0.0,0.0,1.0,1.0,0,1,0.09090909090909091,1
2015,CAB0100,Intra-Asia,hyperscaler,3.0,8.0,3537.0,5.0,,224.0,89.7,76.1,1.0,53.0,0.0,4.8,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0100,Intra-Asia,hyperscaler,4.0,8.0,3537.0,5.0,,224.0,129.0,15.3,1.0,59.0,0.0,6.3,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0100,Intra-Asia,hyperscaler,5.0,8.0,3537.0,5.0,,224.0,132.0,88.7,1.0,60.0,0.0,7.9,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0100,Intra-Asia,hyperscaler,6.0,8.0,3537.0,5.0,,224.0,125.3,44.7,1.0,62.0,0.0,9.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0100,Intra-Asia,hyperscaler,7.0,8.0,3537.0,5.0,,224.0,141.9,56.4,1.0,64.0,0.0,11.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0100,Intra-Asia,hyperscaler,8.0,8.0,3537.0,5.0,,224.0,155.2,48.3,1.0,66.0,0.0,12.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0100,Intra-Asia,hyperscaler,9.0,8.0,3537.0,5.0,,224.0,158.4,74.2,1.0,69.0,0.0,14.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0100,Intra-Asia,hyperscaler,10.0,8.0,3537.0,5.0,,224.0,184.7,74.0,1.0,70.0,0.0,15.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0100,Intra-Asia,hyperscaler,11.0,8.0,3537.0,5.0,,224.0,179.3,35.8,1.0,70.0,0.0,17.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0100,Intra-Asia,hyperscaler,12.0,8.0,3537.0,5.0,,224.0,198.1,100.0,1.0,75.0,0.0,19.0,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0100,Intra-Asia,hyperscaler,13.0,8.0,3537.0,5.0,,224.0,208.0,93.4,1.0,77.0,0.0,20.6,0.0,0.0,0.0,0.0,1,99,0.0,1
2015,CAB0101,Africa-Coastal,carrier,16.0,5.0,6069.0,9.0,,47.1,47.1,68.1,1.0,36.0,1.0,45.2,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0101,Africa-Coastal,carrier,17.0,5.0,6069.0,9.0,,47.1,47.1,56.8,1.0,37.0,1.0,46.8,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0101,Africa-Coastal,carrier,18.0,5.0,6069.0,9.0,,47.1,47.1,47.7,1.0,40.0,0.0,28.6,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0101,Africa-Coastal,carrier,19.0,5.0,6069.0,9.0,,47.1,47.1,84.7,1.0,40.0,0.0,30.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0101,Africa-Coastal,carrier,20.0,5.0,6069.0,9.0,,47.1,47.1,60.3,1.0,42.0,0.0,31.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0101,Africa-Coastal,carrier,21.0,5.0,6069.0,9.0,,47.1,47.1,80.5,1.0,43.0,0.0,33.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0101,Africa-Coastal,carrier,22.0,5.0,6069.0,9.0,,47.1,47.1,98.9,1.0,44.0,0.0,34.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0101,Africa-Coastal,carrier,23.0,5.0,6069.0,9.0,,47.1,47.1,58.2,1.0,45.0,0.0,36.5,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0101,Africa-Coastal,carrier,24.0,5.0,6069.0,9.0,,47.1,47.1,100.0,1.0,47.0,0.0,38.1,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0101,Africa-Coastal,carrier,25.0,5.0,6069.0,9.0,,47.1,47.1,93.2,1.0,49.0,0.0,39.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0101,Africa-Coastal,carrier,26.0,5.0,6069.0,9.0,,47.1,47.1,81.1,1.0,52.0,0.0,41.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2015,CAB0102,EMEA-Asia,carrier,17.0,4.0,13754.0,6.0,Malacca,32.0,32.0,55.3,1.0,27.0,1.0,74.6,1.0,0.0,,1.0,0,0,1.0,0
2016,CAB0102,EMEA-Asia,carrier,18.0,4.0,13754.0,6.0,Malacca,32.0,32.0,83.4,1.0,29.0,1.0,76.2,0.0,0.0,1.0,1.0,0,1,0.5,0
2017,CAB0102,EMEA-Asia,carrier,19.0,4.0,13754.0,6.0,Malacca,32.0,32.0,89.1,1.0,32.0,1.0,77.8,0.0,0.0,0.0,1.0,0,2,0.3333333333333333,0
2018,CAB0102,EMEA-Asia,carrier,20.0,4.0,13754.0,6.0,Malacca,32.0,32.0,63.3,1.0,34.0,1.0,79.4,0.0,0.0,0.0,0.0,0,3,0.25,1
2019,CAB0102,EMEA-Asia,carrier,21.0,4.0,13754.0,6.0,Malacca,32.0,32.0,100.0,1.0,37.0,1.0,81.0,0.0,0.0,0.0,0.0,0,4,0.2,1
2020,CAB0102,EMEA-Asia,carrier,22.0,4.0,13754.0,6.0,Malacca,32.0,32.0,99.4,1.0,40.0,0.0,62.7,0.0,0.0,0.0,0.0,0,5,0.16666666666666666,1
2021,CAB0102,EMEA-Asia,carrier,23.0,4.0,13754.0,6.0,Malacca,32.0,32.0,99.3,1.0,44.0,0.0,64.3,0.0,0.0,0.0,0.0,0,6,0.14285714285714285,1
2022,CAB0102,EMEA-Asia,carrier,24.0,4.0,13754.0,6.0,Malacca,32.0,32.0,90.1,1.0,45.0,0.0,65.9,0.0,0.0,0.0,0.0,0,7,0.125,1
2023,CAB0102,EMEA-Asia,carrier,25.0,4.0,13754.0,6.0,Malacca,32.0,32.0,82.9,1.0,47.0,0.0,67.5,0.0,1.0,0.0,0.0,0,8,0.1111111111111111,1
2015,CAB0103,Indian-Ocean,hyperscaler,2.0,27.0,6774.0,2.0,,794.6,289.0,42.4,0.0,31.0,1.0,50.8,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0103,Indian-Ocean,hyperscaler,3.0,27.0,6774.0,2.0,,794.6,357.0,51.7,0.0,33.0,1.0,52.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0103,Indian-Ocean,hyperscaler,4.0,27.0,6774.0,2.0,,794.6,375.6,14.6,0.0,33.0,1.0,54.0,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0103,Indian-Ocean,hyperscaler,5.0,27.0,6774.0,2.0,,794.6,412.1,66.2,0.0,35.0,1.0,55.6,0.0,1.0,0.0,0.0,1,99,0.0,1
2019,CAB0103,Indian-Ocean,hyperscaler,6.0,27.0,6774.0,2.0,,794.6,460.7,50.5,0.0,35.0,1.0,57.1,1.0,0.0,0.0,1.0,0,0,0.2,1
2020,CAB0103,Indian-Ocean,hyperscaler,7.0,27.0,6774.0,2.0,,794.6,519.5,64.1,0.0,36.0,1.0,58.7,0.0,0.0,1.0,1.0,0,1,0.16666666666666666,1
2021,CAB0103,Indian-Ocean,hyperscaler,8.0,27.0,6774.0,2.0,,794.6,610.6,23.7,0.0,39.0,1.0,60.3,0.0,0.0,0.0,1.0,0,2,0.14285714285714285,1
2022,CAB0103,Indian-Ocean,hyperscaler,9.0,27.0,6774.0,2.0,,794.6,655.4,25.7,0.0,39.0,1.0,61.9,0.0,1.0,0.0,0.0,0,3,0.125,1
2023,CAB0103,Indian-Ocean,hyperscaler,10.0,27.0,6774.0,2.0,,794.6,718.9,30.0,0.0,40.0,0.0,43.7,1.0,0.0,0.0,1.0,0,0,0.2222222222222222,1
2024,CAB0103,Indian-Ocean,hyperscaler,11.0,27.0,6774.0,2.0,,794.6,726.5,100.0,0.0,41.0,0.0,45.2,0.0,0.0,1.0,1.0,0,1,0.2,1
2025,CAB0103,Indian-Ocean,hyperscaler,12.0,27.0,6774.0,2.0,,794.6,715.6,42.8,0.0,44.0,0.0,46.8,0.0,0.0,0.0,1.0,0,2,0.18181818181818182,1
2015,CAB0104,Intra-Pacific-Islands,carrier,9.0,3.0,3843.0,5.0,,58.3,44.9,100.0,1.0,28.0,1.0,34.1,0.0,1.0,,0.0,1,99,0.0,0
2016,CAB0104,Intra-Pacific-Islands,carrier,10.0,3.0,3843.0,5.0,,58.3,47.0,52.1,1.0,29.0,1.0,35.7,1.0,0.0,0.0,1.0,0,0,0.5,0
2017,CAB0104,Intra-Pacific-Islands,carrier,11.0,3.0,3843.0,5.0,,58.3,54.8,40.7,1.0,29.0,1.0,37.3,0.0,0.0,1.0,1.0,0,1,0.3333333333333333,0
2018,CAB0104,Intra-Pacific-Islands,carrier,12.0,3.0,3843.0,5.0,,58.3,58.3,86.3,1.0,30.0,1.0,38.9,0.0,0.0,0.0,1.0,0,2,0.25,1
2019,CAB0104,Intra-Pacific-Islands,carrier,13.0,3.0,3843.0,5.0,,58.3,58.3,64.3,1.0,35.0,1.0,40.5,0.0,0.0,0.0,0.0,0,3,0.2,1
2020,CAB0104,Intra-Pacific-Islands,carrier,14.0,3.0,3843.0,5.0,,58.3,58.3,100.0,1.0,40.0,0.0,22.2,0.0,0.0,0.0,0.0,0,4,0.16666666666666666,1
2021,CAB0104,Intra-Pacific-Islands,carrier,15.0,3.0,3843.0,5.0,,58.3,58.3,39.5,1.0,41.0,0.0,23.8,0.0,0.0,0.0,0.0,0,5,0.14285714285714285,1
2022,CAB0104,Intra-Pacific-Islands,carrier,16.0,3.0,3843.0,5.0,,58.3,58.3,52.9,1.0,43.0,0.0,25.4,0.0,0.0,0.0,0.0,0,6,0.125,1
2023,CAB0104,Intra-Pacific-Islands,carrier,17.0,3.0,3843.0,5.0,,58.3,58.3,50.3,1.0,45.0,0.0,27.0,0.0,0.0,0.0,0.0,0,7,0.1111111111111111,1
2024,CAB0104,Intra-Pacific-Islands,carrier,18.0,3.0,3843.0,5.0,,58.3,58.3,100.0,1.0,48.0,0.0,28.6,0.0,0.0,0.0,0.0,0,8,0.1,1
2025,CAB0104,Intra-Pacific-Islands,carrier,19.0,3.0,3843.0,5.0,,58.3,58.3,76.3,1.0,50.0,0.0,30.2,0.0,1.0,0.0,0.0,0,9,0.09090909090909091,1
2025,CAB0105,Indian-Ocean,consortium,0.0,6.0,11696.0,4.0,,279.4,86.3,11.7,1.0,44.0,0.0,0.0,0.0,0.0,,0.0,1,99,0.0,0
2018,CAB0106,Americas,carrier,0.0,21.0,5371.0,3.0,,768.0,244.1,40.8,1.0,31.0,1.0,19.8,0.0,0.0,,0.0,1,99,0.0,0
2019,CAB0106,Americas,carrier,1.0,21.0,5371.0,3.0,,768.0,243.5,17.2,1.0,32.0,1.0,21.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2020,CAB0106,Americas,carrier,2.0,21.0,5371.0,3.0,,768.0,351.4,34.3,1.0,33.0,1.0,23.0,0.0,0.0,0.0,0.0,1,99,0.0,0
2021,CAB0106,Americas,carrier,3.0,21.0,5371.0,3.0,,768.0,338.6,27.2,1.0,37.0,1.0,24.6,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0106,Americas,carrier,4.0,21.0,5371.0,3.0,,768.0,356.4,18.5,1.0,37.0,1.0,26.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0106,Americas,carrier,5.0,21.0,5371.0,3.0,,768.0,377.7,49.1,1.0,37.0,1.0,27.8,0.0,0.0,0.0,0.0,1,99,0.0,1
2024,CAB0106,Americas,carrier,6.0,21.0,5371.0,3.0,,768.0,431.1,31.0,1.0,39.0,1.0,29.4,0.0,0.0,0.0,0.0,1,99,0.0,1
2025,CAB0106,Americas,carrier,7.0,21.0,5371.0,3.0,,768.0,557.0,28.8,1.0,39.0,1.0,31.0,0.0,0.0,0.0,0.0,1,99,0.0,1
2015,CAB0107,Africa-Coastal,hyperscaler,3.0,4.0,7718.0,6.0,,112.0,49.5,58.6,0.0,36.0,1.0,40.5,1.0,1.0,,1.0,0,0,1.0,0
2016,CAB0107,Africa-Coastal,hyperscaler,4.0,4.0,7718.0,6.0,,112.0,61.8,52.0,0.0,37.0,1.0,42.1,1.0,0.0,1.0,2.0,0,0,1.0,0
2017,CAB0107,Africa-Coastal,hyperscaler,5.0,4.0,7718.0,6.0,,112.0,61.8,85.5,0.0,40.0,0.0,23.8,0.0,1.0,1.0,2.0,0,1,0.6666666666666666,0
2018,CAB0107,Africa-Coastal,hyperscaler,6.0,4.0,7718.0,6.0,,112.0,74.1,40.5,0.0,40.0,0.0,25.4,1.0,1.0,0.0,2.0,0,0,0.75,1
2019,CAB0107,Africa-Coastal,hyperscaler,7.0,4.0,7718.0,6.0,,112.0,86.2,68.8,0.0,42.0,0.0,27.0,1.0,0.0,1.0,2.0,0,0,0.8,1
2020,CAB0107,Africa-Coastal,hyperscaler,8.0,4.0,7718.0,6.0,,112.0,77.1,55.5,0.0,43.0,0.0,28.6,0.0,0.0,1.0,2.0,0,1,0.6666666666666666,1
2021,CAB0107,Africa-Coastal,hyperscaler,9.0,4.0,7718.0,6.0,,112.0,90.3,26.3,0.0,44.0,0.0,30.2,0.0,0.0,0.0,1.0,0,2,0.5714285714285714,1
2022,CAB0107,Africa-Coastal,hyperscaler,10.0,4.0,7718.0,6.0,,112.0,93.7,56.5,0.0,45.0,0.0,31.7,0.0,1.0,0.0,0.0,0,3,0.5,1
2023,CAB0107,Africa-Coastal,hyperscaler,11.0,4.0,7718.0,6.0,,112.0,104.6,63.8,0.0,47.0,0.0,33.3,1.0,0.0,0.0,1.0,0,0,0.5555555555555556,1
2024,CAB0107,Africa-Coastal,hyperscaler,12.0,4.0,7718.0,6.0,,112.0,106.5,93.9,0.0,49.0,0.0,34.9,0.0,0.0,1.0,1.0,0,1,0.5,1
2025,CAB0107,Africa-Coastal,hyperscaler,13.0,4.0,7718.0,6.0,,112.0,112.0,83.0,0.0,52.0,0.0,36.5,0.0,0.0,0.0,1.0,0,2,0.45454545454545453,1
2024,CAB0108,Intra-Asia,consortium,0.0,9.0,6120.0,6.0,,406.3,82.7,5.0,0.0,75.0,0.0,15.9,0.0,0.0,,0.0,1,99,0.0,0
2025,CAB0108,Intra-Asia,consortium,1.0,9.0,6120.0,6.0,,406.3,99.9,34.5,0.0,77.0,0.0,17.5,0.0,0.0,0.0,0.0,1,99,0.0,0
2019,CAB0109,Intra-Pacific-Islands,consortium,0.0,16.0,2522.0,5.0,,608.0,163.3,14.5,0.0,35.0,1.0,35.7,1.0,0.0,,1.0,0,0,1.0,0
2020,CAB0109,Intra-Pacific-Islands,consortium,1.0,16.0,2522.0,5.0,,608.0,212.7,79.0,0.0,40.0,0.0,17.5,0.0,0.0,1.0,1.0,0,1,0.5,0
2021,CAB0109,Intra-Pacific-Islands,consortium,2.0,16.0,2522.0,5.0,,608.0,265.7,11.1,0.0,41.0,0.0,19.0,0.0,0.0,0.0,1.0,0,2,0.3333333333333333,0
2022,CAB0109,Intra-Pacific-Islands,consortium,3.0,16.0,2522.0,5.0,,608.0,304.3,62.0,0.0,43.0,0.0,20.6,0.0,0.0,0.0,0.0,0,3,0.25,1
2023,CAB0109,Intra-Pacific-Islands,consortium,4.0,16.0,2522.0,5.0,,608.0,361.5,52.2,0.0,45.0,0.0,22.2,0.0,0.0,0.0,0.0,0,4,0.2,1
2024,CAB0109,Intra-Pacific-Islands,consortium,5.0,16.0,2522.0,5.0,,608.0,294.8,78.0,0.0,48.0,0.0,23.8,0.0,0.0,0.0,0.0,0,5,0.16666666666666666,1
2025,CAB0109,Intra-Pacific-Islands,consortium,6.0,16.0,2522.0,5.0,,608.0,416.7,78.5,0.0,50.0,0.0,25.4,0.0,1.0,0.0,0.0,0,6,0.14285714285714285,1
2015,CAB0110,Intra-Asia,consortium,15.0,5.0,2860.0,5.0,,54.3,54.3,64.1,1.0,53.0,0.0,23.8,0.0,0.0,,0.0,1,99,0.0,0
2016,CAB0110,Intra-Asia,consortium,16.0,5.0,2860.0,5.0,,54.3,54.3,90.6,1.0,59.0,0.0,25.4,0.0,0.0,0.0,0.0,1,99,0.0,0
2017,CAB0110,Intra-Asia,consortium,17.0,5.0,2860.0,5.0,,54.3,54.3,94.9,1.0,60.0,0.0,27.0,0.0,0.0,0.0,0.0,1,99,0.0,0
2018,CAB0110,Intra-Asia,consortium,18.0,5.0,2860.0,5.0,,54.3,54.3,69.0,1.0,62.0,0.0,28.6,0.0,0.0,0.0,0.0,1,99,0.0,1
2019,CAB0110,Intra-Asia,consortium,19.0,5.0,2860.0,5.0,,54.3,54.3,78.0,1.0,64.0,0.0,30.2,0.0,0.0,0.0,0.0,1,99,0.0,1
2020,CAB0110,Intra-Asia,consortium,20.0,5.0,2860.0,5.0,,54.3,54.3,100.0,1.0,66.0,0.0,31.7,0.0,0.0,0.0,0.0,1,99,0.0,1
2021,CAB0110,Intra-Asia,consortium,21.0,5.0,2860.0,5.0,,54.3,54.3,45.8,1.0,69.0,0.0,33.3,0.0,0.0,0.0,0.0,1,99,0.0,1
2022,CAB0110,Intra-Asia,consortium,22.0,5.0,2860.0,5.0,,54.3,54.3,58.6,1.0,70.0,0.0,34.9,0.0,0.0,0.0,0.0,1,99,0.0,1
2023,CAB0110,Intra-Asia,consortium,23.0,5.0,2860.0,5.0,,54.3,54.3,63.5,1.0,70.0,0.0,36.5,0.0,1.0,0.0,0.0,1,99,0.0,1
2024,CAB0110,Intra-Asia,consortium,24.0,5.0,2860.0,5.0,,54.3,54.3,88.0,1.0,75.0,0.0,38.1,1.0,0.0,0.0,1.0,0,0,0.1,1
2025,CAB0110,Intra-Asia,consortium,25.0,5.0,2860.0,5.0,,54.3,54.3,100.0,1.0,77.0,0.0,39.7,0.0,0.0,1.0,1.0,0,1,0.09090909090909091,1
2025,CAB0111,Americas,carrier,0.0,6.0,6012.0,4.0,,279.4,82.7,66.0,0.0,39.0,1.0,35.7,0.0,0.0,,0.0,1,99,0.0,0
2015,CAB0112,Africa-Coastal,consortium,3.0,17.0,14941.0,7.0,,476.0,199.4,53.9,0.0,36.0,1.0,40.5,0.0,1.0,,0.0,1,99,0.0,0
2016,CAB0112,Africa-Coastal,consortium,4.0,17.0,14941.0,7.0,,476.0,243.4,32.8,0.0,37.0,1.0,42.1,1.0,0.0,0.0,1.0,0,0,0.5,0
2017,CAB0112,Africa-Coastal,consortium,5.0,17.0,14941.0,7.0,,476.0,273.3,71.2,0.0,40.0,0.0,23.8,0.0,1.0,1.0,1.0,0,1,0.3333333333333333,0
2018,CAB0112,Africa-Coastal,consortium,6.0,17.0,14941.0,7.0,,476.0,274.1,72.9,0.0,40.0,0.0,25.4,1.0,0.0,0.0,2.0,0,0,0.5,1
2019,CAB0112,Africa-Coastal,consortium,7.0,17.0,14941.0,7.0,,476.0,313.2,32.9,0.0,42.0,0.0,27.0,0.0,0.0,1.0,1.0,0,1,0.4,1
2020,CAB0112,Africa-Coastal,consortium,8.0,17.0,14941.0,7.0,,476.0,352.7,62.4,0.0,43.0,0.0,28.6,0.0,0.0,0.0,1.0,0,2,0.3333333333333333,1
