cable_id,ocean_route,operator_type,rfs_year,fiber_pairs,length_km,n_landing_countries,chokepoint
CAB0406,EMEA-Asia,carrier,2017,30,16244.0,4,Bab-el-Mandeb
CAB0407,Trans-Atlantic,consortium,2025,12,5268.0,7,None
CAB0408,Africa-Coastal,carrier,2013,4,13828.0,7,None
CAB0409,Trans-Pacific,consortium,2023,8,9494.0,4,None
CAB0410,Intra-Asia,consortium,2014,7,5630.0,5,None
CAB0411,Intra-Europe,consortium,2020,33,2646.0,6,None
CAB0412,Americas,consortium,2024,18,2303.0,5,None
CAB0413,Americas,carrier,2013,9,8464.0,4,None
CAB0414,Intra-Asia,hyperscaler,2010,6,5494.0,4,None
CAB0415,Intra-Pacific-Islands,carrier,2013,6,3576.0,5,None
CAB0416,Trans-Atlantic,carrier,2015,7,7378.0,3,None
CAB0417,Trans-Pacific,carrier,2007,33,13108.0,5,None
CAB0418,Intra-Asia,consortium,2018,7,3575.0,5,None
CAB0419,Indian-Ocean,hyperscaler,2013,18,11123.0,7,Hormuz
CAB0420,Trans-Atlantic,carrier,2015,14,6401.0,6,None
CAB0421,EMEA-Asia,hyperscaler,2016,7,17350.0,6,Hormuz
CAB0422,Trans-Atlantic,consortium,2014,4,5288.0,6,None
CAB0423,Intra-Asia,carrier,2024,36,3820.0,6,None
CAB0424,Intra-Asia,government,2001,5,3264.0,5,None
CAB0425,Trans-Atlantic,carrier,2013,6,5639.0,5,None
CAB0426,Intra-Pacific-Islands,carrier,2011,6,3396.0,3,None
CAB0427,Trans-Atlantic,hyperscaler,2002,8,5510.0,5,None
CAB0428,EMEA-Asia,carrier,2021,5,8070.0,4,None
CAB0429,Trans-Atlantic,hyperscaler,2006,10,5761.0,6,None
CAB0430,Intra-Pacific-Islands,hyperscaler,2024,24,694.0,6,None
CAB0431,Intra-Europe,consortium,2011,4,1044.0,3,None
CAB0432,Trans-Atlantic,consortium,2019,16,5152.0,3,None
CAB0433,Africa-Coastal,consortium,2003,28,7685.0,10,None
CAB0434,Intra-Europe,government,2013,4,547.0,8,None
CAB0435,Indian-Ocean,carrier,2015,9,10735.0,3,Bab-el-Mandeb
CAB0436,Intra-Europe,consortium,2013,6,1100.0,4,None
CAB0437,Intra-Europe,consortium,2014,9,376.0,5,None
CAB0438,Intra-Asia,hyperscaler,2016,19,2912.0,4,None
CAB0439,Americas,hyperscaler,2018,7,5359.0,3,None
CAB0440,EMEA-Asia,carrier,2010,24,17158.0,4,None
CAB0441,Trans-Pacific,consortium,2022,11,14438.0,6,None
CAB0442,Americas,consortium,2021,22,6729.0,9,Panama
CAB0443,EMEA-Asia,hyperscaler,2021,22,17715.0,8,Hormuz
CAB0444,EMEA-Asia,consortium,2021,17,9243.0,3,None
CAB0445,Trans-Pacific,consortium,2004,19,10698.0,5,None
CAB0446,Trans-Atlantic,consortium,2006,3,5704.0,7,None
CAB0447,Intra-Europe,consortium,2011,4,2783.0,5,None
CAB0448,Africa-Coastal,consortium,2023,17,4710.0,3,None
CAB0449,EMEA-Asia,consortium,2013,18,16011.0,4,None
CAB0450,Trans-Pacific,hyperscaler,2006,10,9055.0,5,None
CAB0451,Americas,consortium,1999,22,2345.0,5,None
CAB0452,Trans-Atlantic,hyperscaler,2005,5,7371.0,5,None
CAB0453,EMEA-Asia,consortium,2019,16,11735.0,4,Hormuz
CAB0454,Intra-Pacific-Islands,consortium,2001,8,2409.0,6,None
CAB0455,Intra-Europe,carrier,2013,6,2361.0,8,None
CAB0456,Africa-Coastal,consortium,2024,12,3683.0,6,None
CAB0457,Intra-Asia,consortium,2021,17,1736.0,5,None
CAB0458,Africa-Coastal,consortium,2015,4,11197.0,4,None
CAB0459,Trans-Atlantic,carrier,2019,48,6581.0,8,None
CAB0460,Trans-Pacific,carrier,1998,14,14102.0,5,None
CAB0461,Intra-Asia,carrier,2012,8,3554.0,6,None
CAB0462,Trans-Atlantic,carrier,2022,8,6636.0,4,None
CAB0463,Intra-Europe,hyperscaler,2025,12,2970.0,5,None
CAB0464,Africa-Coastal,hyperscaler,2002,4,4670.0,4,None
CAB0465,Americas,government,2000,5,2180.0,5,None
CAB0466,Intra-Europe,hyperscaler,2014,7,609.0,3,None
CAB0467,Trans-Atlantic,consortium,2000,4,5232.0,4,None
CAB0468,Intra-Pacific-Islands,carrier,2024,24,1619.0,4,None
CAB0469,Intra-Asia,government,2000,8,2432.0,3,None
CAB0470,Intra-Asia,hyperscaler,1998,14,4078.0,4,None
CAB0471,EMEA-Asia,hyperscaler,2004,13,17686.0,5,None
CAB0472,EMEA-Asia,carrier,2023,23,12712.0,5,None
CAB0473,Trans-Pacific,consortium,2004,29,10948.0,3,None
CAB0474,Intra-Asia,hyperscaler,2021,22,3331.0,2,None
CAB0475,Trans-Pacific,consortium,2014,4,12994.0,5,None
CAB0476,Americas,consortium,2014,4,3075.0,3,Panama
CAB0477,Africa-Coastal,consortium,2007,5,4459.0,5,None
CAB0478,Africa-Coastal,consortium,2010,16,5331.0,5,None
CAB0479,Intra-Asia,hyperscaler,2008,5,5592.0,8,None
CAB0480,Intra-Pacific-Islands,carrier,2020,5,2929.0,5,None
CAB0481,EMEA-Asia,government,2009,3,19210.0,2,None
CAB0482,Africa-Coastal,carrier,2024,6,5388.0,2,None
CAB0483,Intra-Pacific-Islands,consortium,1998,7,2081.0,2,None
CAB0484,Trans-Atlantic,hyperscaler,2020,5,7233.0,5,None
CAB0485,Intra-Pacific-Islands,consortium,2001,2,2145.0,5,None
CAB0486,Intra-Pacific-Islands,hyperscaler,2021,5,1695.0,5,None
CAB0487,Intra-Asia,carrier,2016,19,4510.0,5,None
CAB0488,EMEA-Asia,hyperscaler,2002,2,19976.0,5,None
CAB0489,Intra-Pacific-Islands,hyperscaler,2026,12,2982.0,6,None
CAB0490,Intra-Asia,consortium,2019,10,3223.0,6,None
CAB0491,Intra-Asia,hyperscaler,2024,6,4611.0,11,None
CAB0492,Africa-Coastal,consortium,2021,48,10743.0,6,None
CAB0493,Africa-Coastal,consortium,2009,35,8610.0,3,None
CAB0494,Indian-Ocean,consortium,2011,12,7426.0,6,Suez
CAB0495,Indian-Ocean,consortium,2021,11,5168.0,6,None
CAB0496,Africa-Coastal,carrier,2013,9,12881.0,5,None
CAB0497,Trans-Atlantic,consortium,2013,6,5836.0,4,None
CAB0498,Intra-Europe,consortium,2016,14,647.0,2,None
CAB0499,Intra-Europe,consortium,2011,4,2858.0,5,None
