year,cable_id,ocean_route,operator_type,rfs_year,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,design_life_years,route_redundancy,is_low_redundancy,vulnerability_index,fault_cause,fault_this_year,fault_next_year
2023,CAB0147,Intra-Europe,hyperscaler,2002,21,8,1101.0,3,None,109.7,109.7,82.4,1,25,53,0,33.3,none,0,0.0
2024,CAB0147,Intra-Europe,hyperscaler,2002,22,8,1101.0,3,None,109.7,109.7,96.7,1,25,53,0,34.9,none,0,0.0
2025,CAB0147,Intra-Europe,hyperscaler,2002,23,8,1101.0,3,None,109.7,109.7,58.1,1,25,58,0,36.5,none,0,0.0
2026,CAB0147,Intra-Europe,hyperscaler,2002,24,8,1101.0,3,None,109.7,109.7,68.9,1,25,60,0,38.1,none,0,
2015,CAB0148,Intra-Asia,carrier,2009,6,23,4190.0,6,None,545.4,328.7,83.0,1,25,53,0,9.5,none,0,0.0
2016,CAB0148,Intra-Asia,carrier,2009,7,23,4190.0,6,None,545.4,340.8,58.8,1,25,59,0,11.1,none,0,0.0
2017,CAB0148,Intra-Asia,carrier,2009,8,23,4190.0,6,None,545.4,373.3,45.3,1,25,60,0,12.7,none,0,0.0
2018,CAB0148,Intra-Asia,carrier,2009,9,23,4190.0,6,None,545.4,423.4,32.9,1,25,62,0,14.3,none,0,0.0
2019,CAB0148,Intra-Asia,carrier,2009,10,23,4190.0,6,None,545.4,511.0,50.3,1,25,64,0,15.9,none,0,0.0
2020,CAB0148,Intra-Asia,carrier,2009,11,23,4190.0,6,None,545.4,501.3,28.3,1,25,66,0,17.5,none,0,1.0
2021,CAB0148,Intra-Asia,carrier,2009,12,23,4190.0,6,None,545.4,529.7,64.7,1,25,69,0,19.0,fishing_anchor,1,0.0
2022,CAB0148,Intra-Asia,carrier,2009,13,23,4190.0,6,None,545.4,545.4,41.0,1,25,70,0,20.6,none,0,0.0
2023,CAB0148,Intra-Asia,carrier,2009,14,23,4190.0,6,None,545.4,545.4,50.6,1,25,70,0,22.2,none,0,0.0
2024,CAB0148,Intra-Asia,carrier,2009,15,23,4190.0,6,None,545.4,545.4,63.4,1,25,75,0,23.8,none,0,0.0
2025,CAB0148,Intra-Asia,carrier,2009,16,23,4190.0,6,None,545.4,545.4,75.9,1,25,77,0,25.4,none,0,0.0
2026,CAB0148,Intra-Asia,carrier,2009,17,23,4190.0,6,None,545.4,545.4,99.2,1,25,77,0,27.0,none,0,
2015,CAB0149,Indian-Ocean,hyperscaler,2001,14,4,10493.0,3,Suez,49.1,49.1,75.5,0,25,31,1,85.7,none,0,1.0
2016,CAB0149,Indian-Ocean,hyperscaler,2001,15,4,10493.0,3,Suez,49.1,49.1,60.4,0,25,33,1,87.3,fishing_anchor,1,0.0
2017,CAB0149,Indian-Ocean,hyperscaler,2001,16,4,10493.0,3,Suez,49.1,49.1,95.2,0,25,33,1,88.9,none,0,0.0
2018,CAB0149,Indian-Ocean,hyperscaler,2001,17,4,10493.0,3,Suez,49.1,49.1,67.2,0,25,35,1,90.5,none,0,1.0
2019,CAB0149,Indian-Ocean,hyperscaler,2001,18,4,10493.0,3,Suez,49.1,49.1,100.0,0,25,35,1,92.1,fishing_anchor,1,1.0
2020,CAB0149,Indian-Ocean,hyperscaler,2001,19,4,10493.0,3,Suez,49.1,49.1,94.9,0,25,36,1,93.7,fishing_anchor,1,1.0
2021,CAB0149,Indian-Ocean,hyperscaler,2001,20,4,10493.0,3,Suez,49.1,49.1,81.2,0,25,39,1,95.2,fishing_anchor,1,1.0
2022,CAB0149,Indian-Ocean,hyperscaler,2001,21,4,10493.0,3,Suez,49.1,49.1,100.0,0,25,39,1,96.8,fishing_anchor,1,1.0
2023,CAB0149,Indian-Ocean,hyperscaler,2001,22,4,10493.0,3,Suez,49.1,49.1,65.5,0,25,40,0,78.6,natural_hazard,1,0.0
2024,CAB0149,Indian-Ocean,hyperscaler,2001,23,4,10493.0,3,Suez,49.1,49.1,55.1,0,25,41,0,80.2,none,0,0.0
2025,CAB0149,Indian-Ocean,hyperscaler,2001,24,4,10493.0,3,Suez,49.1,49.1,62.1,0,25,44,0,81.7,none,0,1.0
2026,CAB0149,Indian-Ocean,hyperscaler,2001,25,4,10493.0,3,Suez,49.1,49.1,84.1,0,25,43,0,83.3,suspected_external,1,
2015,CAB0150,Trans-Atlantic,carrier,2013,2,27,7476.0,6,None,794.6,293.9,36.0,0,25,33,1,38.9,none,0,0.0
2016,CAB0150,Trans-Atlantic,carrier,2013,3,27,7476.0,6,None,794.6,293.3,42.5,0,25,37,1,40.5,none,0,0.0
2017,CAB0150,Trans-Atlantic,carrier,2013,4,27,7476.0,6,None,794.6,395.9,62.3,0,25,37,1,42.1,none,0,1.0
2018,CAB0150,Trans-Atlantic,carrier,2013,5,27,7476.0,6,None,794.6,432.4,37.1,0,25,40,0,23.8,fishing_anchor,1,0.0
2019,CAB0150,Trans-Atlantic,carrier,2013,6,27,7476.0,6,None,794.6,517.9,45.8,0,25,45,0,25.4,none,0,0.0
2020,CAB0150,Trans-Atlantic,carrier,2013,7,27,7476.0,6,None,794.6,531.5,58.2,0,25,48,0,27.0,none,0,0.0
2021,CAB0150,Trans-Atlantic,carrier,2013,8,27,7476.0,6,None,794.6,553.8,59.2,0,25,50,0,28.6,none,0,0.0
2022,CAB0150,Trans-Atlantic,carrier,2013,9,27,7476.0,6,None,794.6,616.3,82.8,0,25,51,0,30.2,none,0,0.0
2023,CAB0150,Trans-Atlantic,carrier,2013,10,27,7476.0,6,None,794.6,642.1,78.3,0,25,54,0,31.7,none,0,0.0
2024,CAB0150,Trans-Atlantic,carrier,2013,11,27,7476.0,6,None,794.6,733.5,53.5,0,25,58,0,33.3,none,0,0.0
2025,CAB0150,Trans-Atlantic,carrier,2013,12,27,7476.0,6,None,794.6,759.4,44.0,0,25,62,0,34.9,none,0,0.0
2026,CAB0150,Trans-Atlantic,carrier,2013,13,27,7476.0,6,None,794.6,794.6,65.6,0,25,63,0,36.5,none,0,
2015,CAB0151,Indian-Ocean,government,2006,9,14,9685.0,5,None,272.0,209.1,53.8,0,25,31,1,50.0,fishing_anchor,1,0.0
2016,CAB0151,Indian-Ocean,government,2006,10,14,9685.0,5,None,272.0,248.2,72.9,0,25,33,1,51.6,none,0,0.0
2017,CAB0151,Indian-Ocean,government,2006,11,14,9685.0,5,None,272.0,260.5,64.2,0,25,33,1,53.2,none,0,1.0
2018,CAB0151,Indian-Ocean,government,2006,12,14,9685.0,5,None,272.0,257.9,73.9,0,25,35,1,54.8,fishing_anchor,1,0.0
2019,CAB0151,Indian-Ocean,government,2006,13,14,9685.0,5,None,272.0,272.0,42.3,0,25,35,1,56.3,none,0,1.0
2020,CAB0151,Indian-Ocean,government,2006,14,14,9685.0,5,None,272.0,272.0,88.2,0,25,36,1,57.9,fishing_anchor,1,0.0
2021,CAB0151,Indian-Ocean,government,2006,15,14,9685.0,5,None,272.0,272.0,52.2,0,25,39,1,59.5,none,0,0.0
2022,CAB0151,Indian-Ocean,government,2006,16,14,9685.0,5,None,272.0,272.0,53.8,0,25,39,1,61.1,none,0,0.0
2023,CAB0151,Indian-Ocean,government,2006,17,14,9685.0,5,None,272.0,272.0,72.9,0,25,40,0,42.9,none,0,1.0
2024,CAB0151,Indian-Ocean,government,2006,18,14,9685.0,5,None,272.0,272.0,91.6,0,25,41,0,44.4,fishing_anchor,1,1.0
2025,CAB0151,Indian-Ocean,government,2006,19,14,9685.0,5,None,272.0,272.0,66.1,0,25,44,0,46.0,fishing_anchor,1,0.0
2026,CAB0151,Indian-Ocean,government,2006,20,14,9685.0,5,None,272.0,272.0,100.0,0,25,43,0,47.6,none,0,
2015,CAB0152,Intra-Asia,consortium,1998,17,14,2231.0,4,Malacca,112.0,112.0,78.1,0,25,53,0,70.6,suspected_external,1,1.0
2016,CAB0152,Intra-Asia,consortium,1998,18,14,2231.0,4,Malacca,112.0,112.0,63.7,0,25,59,0,72.2,natural_hazard,1,1.0
2017,CAB0152,Intra-Asia,consortium,1998,19,14,2231.0,4,Malacca,112.0,112.0,100.0,0,25,60,0,73.8,fishing_anchor,1,1.0
2018,CAB0152,Intra-Asia,consortium,1998,20,14,2231.0,4,Malacca,112.0,112.0,66.5,0,25,62,0,75.4,fishing_anchor,1,0.0
2019,CAB0152,Intra-Asia,consortium,1998,21,14,2231.0,4,Malacca,112.0,112.0,95.2,0,25,64,0,77.0,none,0,1.0
2020,CAB0152,Intra-Asia,consortium,1998,22,14,2231.0,4,Malacca,112.0,112.0,81.8,0,25,66,0,78.6,natural_hazard,1,0.0
2021,CAB0152,Intra-Asia,consortium,1998,23,14,2231.0,4,Malacca,112.0,112.0,69.5,0,25,69,0,80.2,none,0,1.0
2022,CAB0152,Intra-Asia,consortium,1998,24,14,2231.0,4,Malacca,112.0,112.0,58.8,0,25,70,0,81.7,equipment,1,1.0
2023,CAB0152,Intra-Asia,consortium,1998,25,14,2231.0,4,Malacca,112.0,112.0,96.0,0,25,70,0,83.3,fishing_anchor,1,
2015,CAB0153,Intra-Pacific-Islands,consortium,2000,15,4,3034.0,7,None,43.4,43.4,53.8,1,25,28,1,43.7,none,0,0.0
2016,CAB0153,Intra-Pacific-Islands,consortium,2000,16,4,3034.0,7,None,43.4,43.4,63.5,1,25,29,1,45.2,none,0,1.0
2017,CAB0153,Intra-Pacific-Islands,consortium,2000,17,4,3034.0,7,None,43.4,43.4,68.9,1,25,29,1,46.8,fishing_anchor,1,1.0
2018,CAB0153,Intra-Pacific-Islands,consortium,2000,18,4,3034.0,7,None,43.4,43.4,69.3,1,25,30,1,48.4,fishing_anchor,1,1.0
2019,CAB0153,Intra-Pacific-Islands,consortium,2000,19,4,3034.0,7,None,43.4,43.4,57.6,1,25,35,1,50.0,suspected_external,1,0.0
2020,CAB0153,Intra-Pacific-Islands,consortium,2000,20,4,3034.0,7,None,43.4,43.4,88.5,1,25,40,0,31.7,none,0,0.0
2021,CAB0153,Intra-Pacific-Islands,consortium,2000,21,4,3034.0,7,None,43.4,43.4,73.6,1,25,41,0,33.3,none,0,0.0
2022,CAB0153,Intra-Pacific-Islands,consortium,2000,22,4,3034.0,7,None,43.4,43.4,94.7,1,25,43,0,34.9,none,0,0.0
2023,CAB0153,Intra-Pacific-Islands,consortium,2000,23,4,3034.0,7,None,43.4,43.4,66.6,1,25,45,0,36.5,none,0,0.0
2024,CAB0153,Intra-Pacific-Islands,consortium,2000,24,4,3034.0,7,None,43.4,43.4,74.6,1,25,48,0,38.1,none,0,0.0
2025,CAB0153,Intra-Pacific-Islands,consortium,2000,25,4,3034.0,7,None,43.4,43.4,60.7,1,25,50,0,39.7,none,0,0.0
2026,CAB0153,Intra-Pacific-Islands,consortium,2000,26,4,3034.0,7,None,43.4,43.4,70.1,1,25,51,0,41.3,none,0,
2015,CAB0154,Intra-Asia,consortium,2003,12,4,4924.0,4,Luzon-Strait,60.6,58.0,53.6,0,25,53,0,62.7,none,0,1.0
2016,CAB0154,Intra-Asia,consortium,2003,13,4,4924.0,4,Luzon-Strait,60.6,60.6,57.3,0,25,59,0,64.3,fishing_anchor,1,0.0
2017,CAB0154,Intra-Asia,consortium,2003,14,4,4924.0,4,Luzon-Strait,60.6,60.6,74.1,0,25,60,0,65.9,none,0,0.0
2018,CAB0154,Intra-Asia,consortium,2003,15,4,4924.0,4,Luzon-Strait,60.6,60.6,37.8,0,25,62,0,67.5,none,0,0.0
2019,CAB0154,Intra-Asia,consortium,2003,16,4,4924.0,4,Luzon-Strait,60.6,60.6,78.8,0,25,64,0,69.0,none,0,0.0
2020,CAB0154,Intra-Asia,consortium,2003,17,4,4924.0,4,Luzon-Strait,60.6,60.6,68.6,0,25,66,0,70.6,none,0,0.0
2021,CAB0154,Intra-Asia,consortium,2003,18,4,4924.0,4,Luzon-Strait,60.6,60.6,51.9,0,25,69,0,72.2,none,0,1.0
2022,CAB0154,Intra-Asia,consortium,2003,19,4,4924.0,4,Luzon-Strait,60.6,60.6,100.0,0,25,70,0,73.8,fishing_anchor,1,1.0
2023,CAB0154,Intra-Asia,consortium,2003,20,4,4924.0,4,Luzon-Strait,60.6,60.6,88.3,0,25,70,0,75.4,equipment,1,0.0
2024,CAB0154,Intra-Asia,consortium,2003,21,4,4924.0,4,Luzon-Strait,60.6,60.6,100.0,0,25,75,0,77.0,none,0,0.0
2025,CAB0154,Intra-Asia,consortium,2003,22,4,4924.0,4,Luzon-Strait,60.6,60.6,74.0,0,25,77,0,78.6,none,0,0.0
2026,CAB0154,Intra-Asia,consortium,2003,23,4,4924.0,4,Luzon-Strait,60.6,60.6,88.2,0,25,77,0,80.2,none,0,
2015,CAB0155,Indian-Ocean,carrier,1999,16,10,9410.0,4,Suez,94.3,94.3,73.1,0,25,31,1,88.9,none,0,0.0
2016,CAB0155,Indian-Ocean,carrier,1999,17,10,9410.0,4,Suez,94.3,94.3,79.2,0,25,33,1,90.5,none,0,0.0
2017,CAB0155,Indian-Ocean,carrier,1999,18,10,9410.0,4,Suez,94.3,94.3,54.8,0,25,33,1,92.1,none,0,0.0
2018,CAB0155,Indian-Ocean,carrier,1999,19,10,9410.0,4,Suez,94.3,94.3,75.8,0,25,35,1,93.7,none,0,1.0
2019,CAB0155,Indian-Ocean,carrier,1999,20,10,9410.0,4,Suez,94.3,94.3,100.0,0,25,35,1,95.2,fishing_anchor,1,0.0
2020,CAB0155,Indian-Ocean,carrier,1999,21,10,9410.0,4,Suez,94.3,94.3,91.0,0,25,36,1,96.8,none,0,0.0
2021,CAB0155,Indian-Ocean,carrier,1999,22,10,9410.0,4,Suez,94.3,94.3,64.3,0,25,39,1,98.4,none,0,1.0
2022,CAB0155,Indian-Ocean,carrier,1999,23,10,9410.0,4,Suez,94.3,94.3,64.5,0,25,39,1,100.0,fishing_anchor,1,0.0
2023,CAB0155,Indian-Ocean,carrier,1999,24,10,9410.0,4,Suez,94.3,94.3,56.2,0,25,40,0,81.7,none,0,0.0
2024,CAB0155,Indian-Ocean,carrier,1999,25,10,9410.0,4,Suez,94.3,94.3,81.9,0,25,41,0,83.3,none,0,1.0
2025,CAB0155,Indian-Ocean,carrier,1999,26,10,9410.0,4,Suez,94.3,94.3,82.6,0,25,44,0,84.9,natural_hazard,1,
2015,CAB0156,Trans-Pacific,government,2007,8,5,11577.0,4,None,104.3,81.7,65.6,1,25,35,1,32.5,none,0,0.0
2016,CAB0156,Trans-Pacific,government,2007,9,5,11577.0,4,None,104.3,72.4,94.8,1,25,37,1,34.1,none,0,0.0
2017,CAB0156,Trans-Pacific,government,2007,10,5,11577.0,4,None,104.3,84.8,43.5,1,25,38,1,35.7,none,0,0.0
2018,CAB0156,Trans-Pacific,government,2007,11,5,11577.0,4,None,104.3,88.3,70.5,1,25,39,1,37.3,none,0,0.0
2019,CAB0156,Trans-Pacific,government,2007,12,5,11577.0,4,None,104.3,94.1,77.6,1,25,41,0,19.0,none,0,0.0
2020,CAB0156,Trans-Pacific,government,2007,13,5,11577.0,4,None,104.3,104.3,51.0,1,25,42,0,20.6,none,0,0.0
2021,CAB0156,Trans-Pacific,government,2007,14,5,11577.0,4,None,104.3,104.3,61.8,1,25,43,0,22.2,none,0,0.0
2022,CAB0156,Trans-Pacific,government,2007,15,5,11577.0,4,None,104.3,104.3,46.2,1,25,45,0,23.8,none,0,0.0
2023,CAB0156,Trans-Pacific,government,2007,16,5,11577.0,4,None,104.3,104.3,65.7,1,25,47,0,25.4,none,0,0.0
2024,CAB0156,Trans-Pacific,government,2007,17,5,11577.0,4,None,104.3,104.3,67.2,1,25,49,0,27.0,none,0,0.0
2025,CAB0156,Trans-Pacific,government,2007,18,5,11577.0,4,None,104.3,104.3,95.1,1,25,50,0,28.6,none,0,0.0
2026,CAB0156,Trans-Pacific,government,2007,19,5,11577.0,4,None,104.3,104.3,97.7,1,25,48,0,30.2,none,0,
2015,CAB0157,Intra-Europe,consortium,2000,15,5,2429.0,4,None,54.3,54.3,55.0,1,25,41,0,23.8,fishing_anchor,1,0.0
2016,CAB0157,Intra-Europe,consortium,2000,16,5,2429.0,4,None,54.3,54.3,47.1,1,25,42,0,25.4,none,0,0.0
2017,CAB0157,Intra-Europe,consortium,2000,17,5,2429.0,4,None,54.3,54.3,59.3,1,25,44,0,27.0,none,0,1.0
2018,CAB0157,Intra-Europe,consortium,2000,18,5,2429.0,4,None,54.3,54.3,100.0,1,25,45,0,28.6,fishing_anchor,1,0.0
2019,CAB0157,Intra-Europe,consortium,2000,19,5,2429.0,4,None,54.3,54.3,93.8,1,25,47,0,30.2,none,0,1.0
2020,CAB0157,Intra-Europe,consortium,2000,20,5,2429.0,4,None,54.3,54.3,82.7,1,25,49,0,31.7,equipment,1,0.0
2021,CAB0157,Intra-Europe,consortium,2000,21,5,2429.0,4,None,54.3,54.3,70.4,1,25,49,0,33.3,none,0,1.0
2022,CAB0157,Intra-Europe,consortium,2000,22,5,2429.0,4,None,54.3,54.3,100.0,1,25,52,0,34.9,fishing_anchor,1,0.0
2023,CAB0157,Intra-Europe,consortium,2000,23,5,2429.0,4,None,54.3,54.3,100.0,1,25,53,0,36.5,none,0,0.0
2024,CAB0157,Intra-Europe,consortium,2000,24,5,2429.0,4,None,54.3,54.3,100.0,1,25,53,0,38.1,none,0,0.0
2025,CAB0157,Intra-Europe,consortium,2000,25,5,2429.0,4,None,54.3,54.3,100.0,1,25,58,0,39.7,none,0,
2015,CAB0158,EMEA-Asia,hyperscaler,2002,13,8,15647.0,5,None,109.7,109.7,100.0,1,25,27,1,40.5,none,0,1.0
2016,CAB0158,EMEA-Asia,hyperscaler,2002,14,8,15647.0,5,None,109.7,109.7,61.1,1,25,29,1,42.1,fishing_anchor,1,1.0
2017,CAB0158,EMEA-Asia,hyperscaler,2002,15,8,15647.0,5,None,109.7,109.7,100.0,1,25,32,1,43.7,fishing_anchor,1,0.0
2018,CAB0158,EMEA-Asia,hyperscaler,2002,16,8,15647.0,5,None,109.7,109.7,56.4,1,25,34,1,45.2,none,0,1.0
2019,CAB0158,EMEA-Asia,hyperscaler,2002,17,8,15647.0,5,None,109.7,109.7,83.6,1,25,37,1,46.8,natural_hazard,1,0.0
2020,CAB0158,EMEA-Asia,hyperscaler,2002,18,8,15647.0,5,None,109.7,109.7,48.4,1,25,40,0,28.6,none,0,1.0
2021,CAB0158,EMEA-Asia,hyperscaler,2002,19,8,15647.0,5,None,109.7,109.7,87.2,1,25,44,0,30.2,fishing_anchor,1,0.0
2022,CAB0158,EMEA-Asia,hyperscaler,2002,20,8,15647.0,5,None,109.7,109.7,100.0,1,25,45,0,31.7,none,0,1.0
2023,CAB0158,EMEA-Asia,hyperscaler,2002,21,8,15647.0,5,None,109.7,109.7,77.2,1,25,47,0,33.3,suspected_external,1,0.0
2024,CAB0158,EMEA-Asia,hyperscaler,2002,22,8,15647.0,5,None,109.7,109.7,86.4,1,25,48,0,34.9,none,0,0.0
2025,CAB0158,EMEA-Asia,hyperscaler,2002,23,8,15647.0,5,None,109.7,109.7,77.6,1,25,47,0,36.5,none,0,0.0
2026,CAB0158,EMEA-Asia,hyperscaler,2002,24,8,15647.0,5,None,109.7,109.7,51.8,1,25,47,0,38.1,none,0,
2015,CAB0159,Intra-Pacific-Islands,consortium,1999,16,3,3754.0,5,None,28.3,28.3,95.2,0,25,28,1,61.1,none,0,1.0
2016,CAB0159,Intra-Pacific-Islands,consortium,1999,17,3,3754.0,5,None,28.3,28.3,89.4,0,25,29,1,62.7,fishing_anchor,1,0.0
2017,CAB0159,Intra-Pacific-Islands,consortium,1999,18,3,3754.0,5,None,28.3,28.3,99.6,0,25,29,1,64.3,none,0,0.0
2018,CAB0159,Intra-Pacific-Islands,consortium,1999,19,3,3754.0,5,None,28.3,28.3,68.3,0,25,30,1,65.9,none,0,0.0
2019,CAB0159,Intra-Pacific-Islands,consortium,1999,20,3,3754.0,5,None,28.3,28.3,100.0,0,25,35,1,67.5,none,0,0.0
2020,CAB0159,Intra-Pacific-Islands,consortium,1999,21,3,3754.0,5,None,28.3,28.3,65.5,0,25,40,0,49.2,none,0,0.0
2021,CAB0159,Intra-Pacific-Islands,consortium,1999,22,3,3754.0,5,None,28.3,28.3,81.9,0,25,41,0,50.8,none,0,0.0
2022,CAB0159,Intra-Pacific-Islands,consortium,1999,23,3,3754.0,5,None,28.3,28.3,62.2,0,25,43,0,52.4,none,0,0.0
2023,CAB0159,Intra-Pacific-Islands,consortium,1999,24,3,3754.0,5,None,28.3,28.3,100.0,0,25,45,0,54.0,none,0,1.0
2024,CAB0159,Intra-Pacific-Islands,consortium,1999,25,3,3754.0,5,None,28.3,28.3,100.0,0,25,48,0,55.6,equipment,1,1.0
2025,CAB0159,Intra-Pacific-Islands,consortium,1999,26,3,3754.0,5,None,28.3,28.3,80.5,0,25,50,0,57.1,fishing_anchor,1,
2015,CAB0160,Intra-Asia,hyperscaler,2008,7,5,3829.0,8,None,111.4,78.7,55.7,0,25,53,0,27.0,none,0,0.0
2016,CAB0160,Intra-Asia,hyperscaler,2008,8,5,3829.0,8,None,111.4,88.2,54.6,0,25,59,0,28.6,none,0,0.0
2017,CAB0160,Intra-Asia,hyperscaler,2008,9,5,3829.0,8,None,111.4,91.8,65.1,0,25,60,0,30.2,none,0,0.0
2018,CAB0160,Intra-Asia,hyperscaler,2008,10,5,3829.0,8,None,111.4,87.9,57.4,0,25,62,0,31.7,none,0,0.0
2019,CAB0160,Intra-Asia,hyperscaler,2008,11,5,3829.0,8,None,111.4,107.6,49.1,0,25,64,0,33.3,none,0,0.0
2020,CAB0160,Intra-Asia,hyperscaler,2008,12,5,3829.0,8,None,111.4,111.4,100.0,0,25,66,0,34.9,none,0,0.0
2021,CAB0160,Intra-Asia,hyperscaler,2008,13,5,3829.0,8,None,111.4,111.4,54.7,0,25,69,0,36.5,none,0,0.0
2022,CAB0160,Intra-Asia,hyperscaler,2008,14,5,3829.0,8,None,111.4,111.4,79.3,0,25,70,0,38.1,none,0,0.0
2023,CAB0160,Intra-Asia,hyperscaler,2008,15,5,3829.0,8,None,111.4,111.4,73.9,0,25,70,0,39.7,none,0,0.0
2024,CAB0160,Intra-Asia,hyperscaler,2008,16,5,3829.0,8,None,111.4,111.4,89.6,0,25,75,0,41.3,none,0,0.0
2025,CAB0160,Intra-Asia,hyperscaler,2008,17,5,3829.0,8,None,111.4,111.4,69.6,0,25,77,0,42.9,none,0,0.0
2026,CAB0160,Intra-Asia,hyperscaler,2008,18,5,3829.0,8,None,111.4,111.4,50.3,0,25,77,0,44.4,none,0,
2026,CAB0161,Intra-Asia,consortium,2026,0,38,5128.0,6,Malacca,1824.0,505.3,76.4,1,25,77,0,27.8,none,0,
2016,CAB0162,Intra-Pacific-Islands,government,2016,0,7,845.0,4,None,236.0,77.4,27.8,1,25,29,1,19.8,none,0,0.0
2017,CAB0162,Intra-Pacific-Islands,government,2016,1,7,845.0,4,None,236.0,84.1,27.2,1,25,29,1,21.4,none,0,0.0
2018,CAB0162,Intra-Pacific-Islands,government,2016,2,7,845.0,4,None,236.0,62.5,15.2,1,25,30,1,23.0,none,0,0.0
2019,CAB0162,Intra-Pacific-Islands,government,2016,3,7,845.0,4,None,236.0,106.2,51.2,1,25,35,1,24.6,none,0,0.0
2020,CAB0162,Intra-Pacific-Islands,government,2016,4,7,845.0,4,None,236.0,107.6,21.9,1,25,40,0,6.3,none,0,0.0
2021,CAB0162,Intra-Pacific-Islands,government,2016,5,7,845.0,4,None,236.0,113.5,39.8,1,25,41,0,7.9,none,0,0.0
2022,CAB0162,Intra-Pacific-Islands,government,2016,6,7,845.0,4,None,236.0,123.4,20.9,1,25,43,0,9.5,none,0,0.0
2023,CAB0162,Intra-Pacific-Islands,government,2016,7,7,845.0,4,None,236.0,143.9,79.0,1,25,45,0,11.1,none,0,0.0
2024,CAB0162,Intra-Pacific-Islands,government,2016,8,7,845.0,4,None,236.0,173.2,81.4,1,25,48,0,12.7,none,0,0.0
2025,CAB0162,Intra-Pacific-Islands,government,2016,9,7,845.0,4,None,236.0,176.1,72.1,1,25,50,0,14.3,none,0,0.0
2026,CAB0162,Intra-Pacific-Islands,government,2016,10,7,845.0,4,None,236.0,207.5,71.7,1,25,51,0,15.9,none,0,
2025,CAB0163,Intra-Pacific-Islands,government,2025,0,25,191.0,5,None,1164.3,167.9,8.6,0,25,50,0,15.9,none,0,0.0
2026,CAB0163,Intra-Pacific-Islands,government,2025,1,25,191.0,5,None,1164.3,298.3,33.4,0,25,51,0,17.5,none,0,
2015,CAB0164,Trans-Pacific,consortium,2008,7,7,14668.0,4,None,156.0,102.3,51.1,0,25,35,1,46.8,none,0,0.0
2016,CAB0164,Trans-Pacific,consortium,2008,8,7,14668.0,4,None,156.0,120.3,29.2,0,25,37,1,48.4,none,0,1.0
2017,CAB0164,Trans-Pacific,consortium,2008,9,7,14668.0,4,None,156.0,115.8,98.1,0,25,38,1,50.0,suspected_external,1,1.0
2018,CAB0164,Trans-Pacific,consortium,2008,10,7,14668.0,4,None,156.0,134.2,67.9,0,25,39,1,51.6,fishing_anchor,1,0.0
2019,CAB0164,Trans-Pacific,consortium,2008,11,7,14668.0,4,None,156.0,141.0,85.9,0,25,41,0,33.3,none,0,1.0
2020,CAB0164,Trans-Pacific,consortium,2008,12,7,14668.0,4,None,156.0,148.6,71.3,0,25,42,0,34.9,fishing_anchor,1,0.0
2021,CAB0164,Trans-Pacific,consortium,2008,13,7,14668.0,4,None,156.0,149.2,41.0,0,25,43,0,36.5,none,0,0.0
2022,CAB0164,Trans-Pacific,consortium,2008,14,7,14668.0,4,None,156.0,156.0,72.3,0,25,45,0,38.1,none,0,0.0
2023,CAB0164,Trans-Pacific,consortium,2008,15,7,14668.0,4,None,156.0,156.0,68.8,0,25,47,0,39.7,none,0,1.0
2024,CAB0164,Trans-Pacific,consortium,2008,16,7,14668.0,4,None,156.0,156.0,81.3,0,25,49,0,41.3,natural_hazard,1,0.0
2025,CAB0164,Trans-Pacific,consortium,2008,17,7,14668.0,4,None,156.0,156.0,54.1,0,25,50,0,42.9,none,0,1.0
2026,CAB0164,Trans-Pacific,consortium,2008,18,7,14668.0,4,None,156.0,156.0,45.1,0,25,48,0,44.4,fishing_anchor,1,
2015,CAB0165,Intra-Asia,consortium,2012,3,4,2886.0,7,None,112.0,44.1,41.6,1,25,53,0,4.8,none,0,0.0
2016,CAB0165,Intra-Asia,consortium,2012,4,4,2886.0,7,None,112.0,61.2,81.4,1,25,59,0,6.3,none,0,0.0
2017,CAB0165,Intra-Asia,consortium,2012,5,4,2886.0,7,None,112.0,61.6,12.8,1,25,60,0,7.9,none,0,0.0
2018,CAB0165,Intra-Asia,consortium,2012,6,4,2886.0,7,None,112.0,63.6,65.4,1,25,62,0,9.5,none,0,0.0
2019,CAB0165,Intra-Asia,consortium,2012,7,4,2886.0,7,None,112.0,81.9,46.0,1,25,64,0,11.1,none,0,0.0
2020,CAB0165,Intra-Asia,consortium,2012,8,4,2886.0,7,None,112.0,74.6,51.2,1,25,66,0,12.7,none,0,0.0
2021,CAB0165,Intra-Asia,consortium,2012,9,4,2886.0,7,None,112.0,81.6,28.7,1,25,69,0,14.3,none,0,0.0
2022,CAB0165,Intra-Asia,consortium,2012,10,4,2886.0,7,None,112.0,100.1,62.8,1,25,70,0,15.9,none,0,1.0
2023,CAB0165,Intra-Asia,consortium,2012,11,4,2886.0,7,None,112.0,109.1,42.8,1,25,70,0,17.5,equipment,1,0.0
2024,CAB0165,Intra-Asia,consortium,2012,12,4,2886.0,7,None,112.0,109.4,85.7,1,25,75,0,19.0,none,0,0.0
2025,CAB0165,Intra-Asia,consortium,2012,13,4,2886.0,7,None,112.0,112.0,39.3,1,25,77,0,20.6,none,0,0.0
